,date,water_volume_variation,water_flow,water_volume,water_height,water_precipitation
3590,1999-10-31,132961.0,1.0,0.0,0.0,1.0
8139,2012-04-14,164235.0,0.0,1.0,1.0,1.0
6615,2008-02-11,89729.0,0.0,1.0,1.0,0.0
10108,2017-09-04,-54271.0,0.0,1.0,1.0,0.0
7009,2009-03-11,-103206.0,2.0,2.0,2.0,0.0
5425,2004-11-08,-161998.0,2.0,1.0,1.0,0.0
2941,1998-01-20,73369.0,2.0,0.0,0.0,1.0
8017,2011-12-14,53527.0,1.0,1.0,1.0,1.0
6047,2006-07-23,-65628.0,0.0,2.0,2.0,0.0
1475,1994-01-15,956344.0,2.0,2.0,2.0,1.0
8012,2011-12-09,-53931.0,1.0,1.0,1.0,1.0
744,1992-01-15,75977.0,1.0,0.0,0.0,0.0
7644,2010-12-06,294583.0,2.0,1.0,1.0,1.0
3424,1999-05-18,320207.0,2.0,2.0,2.0,1.0
8142,2012-04-17,56043.0,0.0,1.0,1.0,1.0
3966,2000-11-10,312102.0,2.0,0.0,0.0,1.0
9789,2016-10-20,-52786.0,0.0,1.0,1.0,0.0
9170,2015-02-09,-323592.0,2.0,1.0,1.0,0.0
2039,1995-08-02,-131882.0,0.0,0.0,0.0,0.0
3853,2000-07-20,-117473.0,1.0,1.0,1.0,0.0
2789,1997-08-21,-113045.0,1.0,1.0,1.0,0.0
9929,2017-03-09,26814.0,2.0,1.0,1.0,0.0
5457,2004-12-10,0.0,1.0,0.0,0.0,0.0
8459,2013-02-28,0.0,2.0,1.0,1.0,0.0
3952,2000-10-27,43955.0,0.0,0.0,0.0,0.0
1596,1994-05-16,219512.0,1.0,2.0,2.0,0.0
685,1991-11-17,-261109.0,2.0,0.0,0.0,1.0
2940,1998-01-19,37638.0,2.0,0.0,0.0,0.0
1848,1995-01-23,46730.0,2.0,0.0,0.0,1.0
7180,2009-08-29,-68841.0,0.0,2.0,2.0,0.0
4279,2001-09-19,-141844.0,1.0,0.0,0.0,0.0
5597,2005-04-29,-71807.0,2.0,2.0,2.0,0.0
7558,2010-09-11,-93651.0,0.0,2.0,2.0,0.0
1260,1993-06-14,-229571.0,1.0,2.0,2.0,0.0
5306,2004-07-12,-33194.0,0.0,2.0,2.0,0.0
5927,2006-03-25,1264740.0,2.0,2.0,2.0,1.0
2742,1997-07-05,32543.0,1.0,2.0,2.0,0.0
5631,2005-06-02,0.0,1.0,2.0,2.0,0.0
6141,2006-10-25,994581.0,2.0,1.0,1.0,1.0
10110,2017-09-06,-80746.0,0.0,1.0,1.0,0.0
7527,2010-08-11,-102545.0,0.0,2.0,2.0,1.0
4969,2003-08-10,-118449.0,1.0,1.0,1.0,0.0
753,1992-01-24,80453.0,1.0,0.0,0.0,0.0
3220,1998-10-26,0.0,0.0,0.0,0.0,0.0
6507,2007-10-26,-89030.0,0.0,0.0,0.0,0.0
4367,2001-12-16,-18131.0,0.0,0.0,0.0,0.0
1007,1992-10-04,-197798.0,1.0,0.0,0.0,1.0
6133,2006-10-17,-152957.0,2.0,0.0,0.0,1.0
6936,2008-12-28,28588.0,2.0,1.0,1.0,0.0
7700,2011-01-31,-52854.0,2.0,1.0,1.0,0.0
7518,2010-08-02,-69725.0,0.0,2.0,2.0,0.0
4534,2002-06-01,0.0,1.0,2.0,2.0,0.0
6552,2007-12-10,16232.0,0.0,0.0,0.0,1.0
7576,2010-09-29,-116778.0,0.0,1.0,1.0,1.0
3833,2000-06-30,-93757.0,1.0,2.0,2.0,0.0
2149,1995-11-20,0.0,2.0,0.0,0.0,0.0
2375,1996-07-03,-63683.0,1.0,2.0,2.0,0.0
4166,2001-05-29,192556.0,1.0,2.0,2.0,0.0
5487,2005-01-09,-55837.0,2.0,1.0,1.0,0.0
6028,2006-07-04,-34254.0,0.0,2.0,2.0,1.0
2755,1997-07-18,-63611.0,1.0,2.0,2.0,0.0
2683,1997-05-07,105171.0,0.0,1.0,1.0,1.0
8458,2013-02-27,26511.0,2.0,1.0,1.0,0.0
393,1991-01-29,175820.0,2.0,0.0,0.0,1.0
8061,2012-01-27,81457.0,0.0,1.0,1.0,0.0
8243,2012-07-27,-102325.0,0.0,2.0,2.0,0.0
6064,2006-08-09,-93435.0,0.0,2.0,2.0,0.0
3437,1999-05-31,0.0,2.0,2.0,2.0,0.0
9590,2016-04-04,204968.0,2.0,1.0,1.0,1.0
3034,1998-04-23,-447788.0,2.0,2.0,2.0,1.0
5328,2004-08-03,-93011.0,0.0,2.0,2.0,1.0
8404,2013-01-04,26343.0,2.0,1.0,1.0,0.0
8630,2013-08-18,-97303.0,0.0,2.0,2.0,0.0
8714,2013-11-10,-136269.0,2.0,1.0,1.0,0.0
3348,1999-03-03,149899.0,1.0,1.0,1.0,1.0
